dataset,train_ratio,ECFP4 MLP,DescPred,AdapterFusion,DescConcat,ECFP4 RF,ECFP4+Desc RF,Distilled λ=1.0,Best fixed λ,Adaptive λ,Δ Distilled λ=1.0 vs AdapterFusion,Δ Adaptive vs AdapterFusion
caco2_wang,10,3.3683±0.2418,3.3584±0.1667,1.7702±0.0304,2.9221±0.1568,0.6810±0.0065,0.5535±0.0017,1.7725±0.0497,1.7519±0.0216 (0.3),1.8013±0.0075,0.0023,0.0310
caco2_wang,20,1.6070±0.0574,1.6383±0.0859,0.9541±0.0563,1.3699±0.1205,0.6023±0.0040,0.4691±0.0083,0.9459±0.0362,0.9240±0.0362 (0.1),0.9510±0.0561,-0.0081,-0.0030
caco2_wang,50,0.8039±0.0469,0.7613±0.0784,0.6775±0.0995,0.5722±0.0499,0.5810±0.0106,0.4252±0.0121,0.6265±0.0508,0.6174±0.0371 (0.1),0.6341±0.0209,-0.0510,-0.0434
lipophilicity_astrazeneca,10,1.2550±0.0349,1.2638±0.0440,1.2325±0.0114,1.0763±0.0284,1.1177±0.0026,1.0635±0.0011,1.2058±0.0219,1.2058±0.0219 (1.0),1.2257±0.0181,-0.0267,-0.0068
lipophilicity_astrazeneca,20,1.1232±0.0192,1.1232±0.0275,1.0960±0.0132,0.9712±0.0194,1.0500±0.0022,0.9858±0.0015,1.0903±0.0083,1.0835±0.0066 (0.3),1.0913±0.0127,-0.0057,-0.0047
lipophilicity_astrazeneca,50,0.9912±0.0304,1.0013±0.0493,0.9736±0.0059,0.8492±0.0042,1.0046±0.0017,0.9184±0.0012,0.9605±0.0057,0.9509±0.0170 (0.1),0.9726±0.0054,-0.0130,-0.0010
solubility_aqsoldb,10,1.8477±0.0320,1.8330±0.0133,1.7832±0.0151,1.5133±0.0225,1.8814±0.0039,1.4996±0.0059,1.7906±0.0205,1.7906±0.0205 (1.0),1.7890±0.0186,0.0074,0.0058
solubility_aqsoldb,20,1.7364±0.0173,1.7247±0.0018,1.7117±0.0125,1.4250±0.0041,1.7676±0.0029,1.3951±0.0021,1.7027±0.0288,1.6969±0.0100 (0.1),1.7112±0.0063,-0.0090,-0.0005
solubility_aqsoldb,50,1.6426±0.0157,1.6411±0.0238,1.6107±0.0088,1.3540±0.0112,1.7168±0.0063,1.3397±0.0057,1.5963±0.0087,1.5963±0.0087 (1.0),1.6052±0.0103,-0.0144,-0.0055
vdss_lombardo,10,5.4858±0.0360,5.4896±0.0759,5.4563±0.0463,5.3666±0.0311,5.3562±0.0248,5.2699±0.0051,5.4187±0.0199,5.4187±0.0199 (1.0),5.4577±0.0348,-0.0376,0.0014
vdss_lombardo,20,5.6165±0.1165,5.5751±0.0583,5.5086±0.1260,5.5556±0.1357,5.4239±0.0269,5.2805±0.0220,5.6795±0.0473,5.4441±0.0205 (0.01),5.5089±0.1258,0.1709,0.0003
vdss_lombardo,50,5.3960±0.0566,5.3722±0.0307,5.2838±0.0352,5.4127±0.0756,5.1907±0.0337,5.0729±0.0257,5.3103±0.0309,5.2833±0.0350 (0.3),5.2834±0.0353,0.0265,-0.0004
ppbr_az,10,65.0653±0.7206,65.1399±0.5529,18.1281±0.1596,64.7225±1.3956,15.0736±0.0053,14.2419±0.0867,17.5888±0.2565,17.5888±0.2565 (1.0),17.9945±0.0560,-0.5393,-0.1336
ppbr_az,20,26.5570±1.0777,26.9134±0.7853,16.6702±0.3270,24.8199±0.5934,14.4672±0.0601,13.7317±0.0288,16.4194±1.1199,16.4194±1.1199 (1.0),16.8741±1.0101,-0.2508,0.2038
ppbr_az,50,14.7315±0.4141,15.3150±0.1531,14.9058±0.5019,13.9929±0.1827,13.7444±0.0596,13.3106±0.0968,14.6711±0.7282,14.3369±0.3217 (0.3),15.1043±0.5730,-0.2347,0.1985
